platform,algorithm,count,mean,std,var,median,p95,t_min,t_max
tls_results_ryzen,frodo1344aes,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,frodo640aes,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,frodo640shake,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,frodo976aes,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,frodo976shake,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,secp256r1,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,secp384r1,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,secp521r1,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x25519,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x25519_frodo640aes,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x25519_frodo640shake,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x25519_mlkem512,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x448,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x448_bikel3,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x448_frodo976aes,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x448_mlkem768,100,0.02,0.0,0.0,0.02,0.02,0.02,0.02
tls_results_ryzen,x448_frodo976shake,100,0.0255,0.005000000000000002,2.5000000000000015e-05,0.03,0.03,0.02,0.03
tls_results_ryzen,bp256_mlkem512,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,bp384_mlkem768,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,bp512_mlkem1024,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,ffdhe6144,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,frodo1344shake,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p256_frodo640aes,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p256_frodo640shake,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p256_mlkem512,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p384_bikel3,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p384_frodo976aes,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p384_frodo976shake,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p384_mlkem768,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p521_bikel5,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p521_frodo1344aes,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,p521_mlkem1024,100,0.03,0.0,0.0,0.03,0.03,0.03,0.03
tls_results_ryzen,ffdhe8192,100,0.04,0.0,0.0,0.04,0.04,0.04,0.04
tls_results_ryzen,p521_frodo1344shake,100,0.04,0.0,0.0,0.04,0.04,0.04,0.04
